backhoe_wb97r-5,backhoe_wb97r-5_SPECS-1,backhoe_wb97s-5,backhoe_wb97s-5_SPECS-1
Fuel tank (litre),150,HYDRAULICS & CONTROLS,"- SyncroSystem, Closed Load Sensing System (CLSS)  - Variable displacement axial piston pump and Load Independent Flow Divider.  - Proportional Pressure Controls (PPC) lock switch.  - Load Stabiliser System (LSS)  - Loader  - Proportional Pressure Controls (PPC) servo control type.  - Speed up function, self levelling and transmission kickdown.  - Bucket positioner, automatic (return to dig).  - Boom positioner / kickout.  - Loader arm burst valves, factory fitted.  - Load Stabiliser System (LSS) with over ride for burst valves.  - Backhoe (Sideshift arrangement)  - Proportional Pressure Controls (PPC) servo control type.  - Proportional Pressure Controls (PPC) servo control for stabilisers.  - Hydraulic sideshift.  - Power and Economy work mode selection.  - Electro-hydraulic boom lock and slide frame release lock.  - Swing transport lock and hydraulic cushions.  - Boom and Arm burst valves, factory fitted.  - Two way hammer piping, factory fitted.  - Quick hitch piping, factory fitted.  - Additional circuit i.e. tilt."
KOMTRAX Satellite tracking,Yes,OPERATOR ENVIRONMENT,"- Large wide view ROPS / FOPS ergonomic cabin.  - Two door cabin with fully opening rear window.  - Steering wheel, adjustable.  - Air suspension seat, fabric covered.  - Seat belt, 78mm, retractable.  - Safe position seat sensor.  - Easy to view gauge and switch clusters.  - Air conditioner.  - Rear view mirrors, inside and out.  - Floor mat.  - Tinted windows  - AM/FM/CD/MP3 radio, domestic frequency range."
ENGINE & RELATED ITEMS,"- Komatsu SAA4D104E-1 engine.  - Air cleaner, dual element with precleaner.  - Full compliance with EU Stage IIIA and EPA Tier III exhaust emission regulations.  - Side by side cooling cores, (engine, transmission, hydraulic, intercooler).",OTHER STANDARD EQUIPMENT,"- Back-up alarm.  - Engine shut-off system, electric.  - Painting, Komatsu standard colouring.  - Marks and plates, English (Aus & NZ).  - Battery isolation switch.  - Cap lock and cover lock.  - Internal storage.  - Dual LED beacons, rotating type with guards.  - Komatsu Machine Tracking System, (KOMTRAX).  - Fire extinguisher."
ELECTRICAL SYSTEM,"- Alternator, 12 Volt, 120 Ampere.  - Battery, standard, 1 x 12 Volt, 155 Ah.  - Starter motor, 12 Volt, 3.0 kW.",WORK EQUIPMENT,"- Loader  - Multi Purpose bucket.  - Backhoe  - Boom, ""S"" shape type.  - Arm, telescopic type.  - Bucket solutions are available on request."
POWERTRAIN,"- Electronically controlled, four wheel drive, Full Power Shift transmission, 4 speed.  - Heavy duty axles.  - Oil immersed disc brakes, individual rear or total integral braking.",MATERIALS,- Operation and maintenance manual.  - Parts book.
TYRES,- Front - 12.5/80 R18 - 10 PR.  - Rear - 16.9 x 28 - 12 PR.,WARRANTY,"- Premium warranty 36 months / 6,000 hours.  ""Specification on either backhoe variant unit is subject to change without notice"""
HYDRAULICS & CONTROLS,"- SyncroSystem, Closed Load Sensing System (CLSS)  - Variable displacement axial piston pump and Load Independent Flow Divider.  - Proportional Pressure Controls (PPC) lock switch.  - Load Stabiliser System (LSS)  - Electro-hydraulic differential lock.  - Loader  - Proportional Pressure Controls (PPC) servo control type.  - Speed up function, self levelling and transmission kickdown.  - Bucket positioner, automatic (return to dig).  - Boom positioner / kickout.  - Backhoe (Sideshift arrangement)  - Proportional Pressure Controls (PPC) servo control type.  - Proportional Pressure Controls (PPC) servo control for stabilisers.  - Hydraulic sideshift.  - Power and Economy work mode selection.  - Electro-hydraulic boom lock and slide frame release lock.  - Swing transport lock and hydraulic cushions.  - Burst valve protection (boom and arm).  - Hammer piping (one way flow).  - Quick hitch piping, factory fitted.",,
OPERATOR ENVIRONMENT,"- Large wide view ROPS / FOPS ergonomic cabin.  - Two door cabin with fully opening rear window.  - Steering wheel, adjustable.  - Air suspension seat, fabric covered.  - Seat belt, 78mm, retractable.  - Safe position seat sensor.  - Easy to view gauge and switch clusters.  - Air conditioner.  - Rear view mirrors, inside and out.  - Floor mat.  - Tinted windows  - AM/FM/CD/MP3 radio, domestic frequency range.",,
OTHER STANDARD EQUIPMENT,"- Back-up alarm.  - Engine shut-off system, electric.  - Painting, Komatsu standard colouring.  - Marks and plates, English (Aus & NZ).  - Battery isolation switch.  - Cap lock and cover lock.  - Internal storage.  - Dual LED beacons, rotating type with guards.  - Komatsu Machine Tracking System, (KOMTRAX).  - Fire extinguisher.",,
WORK EQUIPMENT,"- Loader  - Multi Purpose bucket.  - Backhoe  - Boom, ""S"" shape type.  - Arm, telescopic type.  - Bucket solutions are available on request.",,
MATERIALS,- Operation and maintenance manual.  - Parts book.,,
WARRANTY,"- Premium warranty 36 months / 6,000 hours.  ""Specification on either backhoe variant unit is subject to change without notice""",,
