dump-trucks_730e-8,dump-trucks_730e-8_SPECS-1,dump-trucks_830e-1ac,dump-trucks_830e-1ac_SPECS-1,dump-trucks_830e-5,dump-trucks_830e-5_SPECS-1,dump-trucks_930e-4se,dump-trucks_930e-4se_SPECS-1,dump-trucks_930e-5,dump-trucks_930e-5_SPECS-1,dump-trucks_980e-4,dump-trucks_980e-4_SPECS-1,dump-trucks_hd1500-8,dump-trucks_hd1500-8_SPECS-1,dump-trucks_hd405-7,dump-trucks_hd405-7_SPECS-1,dump-trucks_hd405-8,dump-trucks_hd405-8_SPECS-1,dump-trucks_hd605-7e0,dump-trucks_hd605-7e0_SPECS-1,dump-trucks_hd605-8,dump-trucks_hd605-8_SPECS-1,dump-trucks_hd785-7,dump-trucks_hd785-7_SPECS-1,dump-trucks_hm300-5,dump-trucks_hm300-5_SPECS-1,dump-trucks_hm400-5,dump-trucks_hm400-5_SPECS-1
Electric Drive | Alternator,GTA-49,Cab | Standard,SAEJ1040 (ROPS)  ISO3449 (FOPS),Electric Drive | Alternator,GTA-51,"Cooling System | L&M radiator assembly, split-flow, with deareation-type top tank measuring 3277 mm x 2164",,Cab | Standard,ISO3471 (ROPS)  ISO3449 (FOPS),Braking System | Electric dynamic retarder (max.),4476 kW / 6000 HP,Body | Target area (inside length x width),8150 mm x 5800 mm,Body | Payload,41000 kg,Body | Payload,40000 kg,Body | Payload,63000 kg,Body | Payload,63000 kg,Body | Payload,91700 kg,Body | Target area (inside length x width),5250 mm x 2685 mm,Body | Target area (inside length x width),5667 mm x 3194 mm
Electric Drive | Dual impeller in-line blower,393 m3/min,Cooling System | Radiator frontal area,6.24 m2,Electric Drive | Dual impeller in-line blower,71.2 m3/min 2515 cfm,Electric Drive | Alternator,GTA-39,Cooling System | Radiator frontal area,7.02 m2,Braking System | Continuously rated high-density blown grids w/retard capacity at low speeds and retard in reverse propulsion.,,Body | Material,400 Brinell hardness high tensile strength steel,Body | Target area (inside length x width),5590 mm x 3380 mm,Body | Target area (inside length x width),5640 mm x 3380 mm,Body | Target area (inside length x width),6600 mm x 3870 mm,Body | Target area (inside length x width),6450 mm x 3870 mm,Body | Target area (inside length x width),7070 mm x 5150 mm,Body | Heating,Exhaust heating (option),Body | Heating,Exhaust heating (option)
Electric Drive | Control,AC Torque Control System,Electric Drive | Alternator,G.E. GTA-41,Electric Drive | Control,AC Torque Control System,Electric Drive | Dual fan main blower,453 m³/min,Electric Drive | Alternator,GTA-51,Cab | Standard,ISO3471 (ROPS)  ISO3449 (FOPS),Body | Material thickness:,,Body | Heating,Exhaust heating,Body | Heating,Exhaust heating (option),Body | Heating,Exhaust heating,Body | Heating,Exhaust heating (option),Body | Heating,Exhaust heating,Body | Material,130 kg/mm2 high tensile strength steel,Body | Material,130 kg/mm2 high tensile strength steel
Electric Drive | Motorised wheels,GEB35 Induction Traction Motors,Electric Drive | Dual impeller in-line blower,255 m3/min,Electric Drive | Motorised wheels,GEB36 Induction Traction Motors,Electric Drive | Control,AC Torque Control System,Electric Drive | Cooling,Dual On-Demand Cooling Blowers,Cooling System | Radiator frontal area,7.02 m2,Body | Bottom,19 mm,Body | Material,160 kg/mm2 high tensile strength steel,Body | Material,160 kg/mm2 high tensile strength steel,Body | Material,160 kg/mm2 high tensile strength steel,Body | Material,130 kg/mm2 high tensile strength steel,Body | Material,400 Brinell hardness high tensile strength steel,Body | Material thickness:,,Body | Material thickness:,
Electric Drive | Ratio,30.8:1,Electric Drive | Control,AC Torque Control System,Electric Drive | Ratio,32.22:1,Electric Drive | Motorised wheels,GDY106 Induction Traction Motors,Electric Drive | Control,KG551 AC Torque Control System,Electric Drive | Alternator,GTA-39,Body | Front,12 mm,Body | Material thickness:,,Body | Material thickness:,,Body | Material thickness:,,Body | Material thickness:,,Body | Material thickness:,,Body | Bottom,14 mm,Body | Bottom,16 mm
Electric Drive | Speed (maximum),64.5 km/h,Electric Drive | Motorised wheels,GEB25,Electric Drive | Speed (maximum),64.5 km/h 40 mph,Electric Drive | Ratio,32.62:1,Electric Drive | Motorised wheels,GDY106B Traction Moto,Electric Drive | Dual fan main blower:,340 m³/min,Body | Sides,9 mm,Body | Bottom,25 mm,Body | Bottom,19 mm,Body | Bottom,25 mm,Body | Bottom,19 mm,Body | Bottom,19 mm,Body | Front,8 mm,Body | Front,8 mm
Electric System | Alternator,"24 V, 250 A",Electric Drive | Ratio,31.875:1,Electrical System | Alternator,"24 V, 275 A",Electric Drive | Speed (maximum),64.5 km/h,Electric Drive | Ratio,32.62:1,Electric Drive | Control,AC Torque Control System,Brakes | Standard,ISO3450,Body | Front,16 mm,Body | Front,16 mm,Body | Front,16 mm,Body | Front,12 mm,Body | Front,12 mm,Body | Sides,12 mm,Body | Sides,12 mm
Electric System | Lighting,24 V,Electric Drive | Speed (maximum),64 km/h,Electrical System | Lighting,24 V,Electric System | Alternator,"24 V, 140 A",Electric Drive | Speed (maximum),64.5 km/h,Electric Drive | Motorised wheels,GDY108-C Induction Traction Motors,Brakes | Service brake - front,"Full-hydraulic control, oil-cooled, multiple-disc type",Body | Sides,14 mm,Body | Sides,14 mm,Body | Sides,14 mm,Body | Sides,9 mm,Body | Sides,9 mm,Brakes | Service brakes,"Full-hydraulic control, oil-cooled multiple-disc type on front and centre axles",Brakes | Service brakes,"Full-hydraulic control, oil-cooled multiple-disc type on front and centre axles"
Electric System | Cranking motors,Two 24 V,Electric System | Alternator,"24 V, 140 A",Electrical System | Cranking motors,Two 24 V,Electric System | Lighting,24 V,Electric System | Alternator,"24 V, 260 A",Electric Drive | Ratio,32.02:1,Brakes | Service brake - rear,"Full-hydraulic control, oil-cooled, multiple-disc type",Brakes | Standard,"ISO3450, SAE1473",Brakes | Standard,"ISO3450, SAE1473",Brakes | Standard,ISO3450,Brakes | Standard,"ISO3450, SAE1473",Brakes | Standard,ISO3450,Brakes | Standard,ISO3450,Brakes | Standard,ISO3450
Frame | Plate material,482.6 MPa tensile strength steel,Electric System | Lighting,24 V,Frame | Plate material,482.6 MPa tensile strength steel,Electric System | Cranking motors,Two 24 V,Electric System | Lighting,24 V,Electric Drive | Speed (maximum),61 km/h,Brakes | Parking brake,"Spring applied, oil-released, 3 caliper dry disc mounted on input yoke to differential",Brakes | Service brake - front,"Full-hydraulic control, caliper disc type",Brakes | Service brake - front,"Full-hydraulic control, caliper disc type",Brakes | Service brake - front,"Full-hydraulic control, caliper disc type",Brakes | Service brake - front,"Full-hydraulic control, caliper disc type",Brakes | Service brake - front,"Full-hydraulic control, oil-cooled, multiple-disc type",Brakes | Parking brake,"Spring applied, caliper disc type",Brakes | Parking brake,"Spring applied, caliper disc type"
Frame | Casting material,620.5 MPa tensile strength steel,Electric System | Cranking motors,Two 24 V,Frame | Casting material,620.5 MPa tensile strength steel,Frame | Plate material,482.6 MPa tensile strength steel,Electric System | Cranking motors,Two 24 V,Electric System | Alternator,"24 V, 250 A",Brakes | Retarder,"Oil cooled, multiple-disc front and rear brakes act as retarder",Brakes | Service brake - rear,"Full-hydraulic control, oil-cooled multiple-disc type",Brakes | Service brake - rear,"Full-hydraulic control, oil-cooled multiple-disc type",Brakes | Service brake - rear,"Full-hydraulic control, oil-cooled, multiple-disc type",Brakes | Service brake - rear,"Full-hydraulic control, oil-cooled multiple-disc type",Brakes | Service brake - rear,"Full-hydraulic control, oil-cooled, multiple-disc type",Brakes | Retarder,Front and centre axle brakes act as retarder,Brakes | Retarder,Front and centre axle brakes act as retarder
Frame | Rail width,280 mm,Frame | Plate material,482.6 MPa tensile strength steel,Frame | Rail width,305 mm,Frame | Casting material,620.5 MPa tensile strength steel,Frame | Plate material,482.6 MPa tensile strength steel,Electric System | Lighting,24 V,Brakes | Secondary brake,"Manual - pus button operated. When hydraulic pressure drops below rated level, parking brake automatically actuated",Brakes | Parking brake,"Spring applied, caliper disc type",Brakes | Parking brake,"Spring applied, multiple disc type",Brakes | Parking brake,"Spring applied, caliper disc type",Brakes | Parking brake,"Spring applied, multiple disc type",Brakes | Parking brake,"Spring applied, multiple-disc type (actuates on all wheels)",Cab | Standard,ISO3449 (FOPS)  ISO3471 (ROPS),Cab | Standard,ISO3449 (FOPS)  ISO3471 (ROPS)
Frame | Rail depth (minimum),797 mm,Frame | Casting material,620.5 MPa tensile strength steel,Frame | Rail depth (minimum),864 mm,Frame | Rail width,305 mm,Frame | Casting material,620.5 MPa tensile strength steel,Electric System | Cranking motors,Two 24 V,Brakes | Braking surface,"164,994 cm2",Brakes | Retarder,"Oil cooled, multiple-disc rear brakes act as retarder",Brakes | Retarder,"Oil cooled, multiple-disc rear brakes act as retarder",Brakes | Retarder,"Oil cooled, multiple-disc rear brakes act as retarder",Brakes | Retarder,"Oil cooled, multiple-disc rear brakes act as retarder",Brakes | Retarder,"Oil cooled, multiple-disc front and rear brakes act as retarder",Hydraulic System | Hoist cylinder,"Twin, telescopic type",Hydraulic System | Hoist cylinder,"Twin, telescopic type"
Frame | Top and bottom plate thickness,32 mm,Frame | Rail width,305 mm,Frame | Top and bottom plate thickness,32 mm,Frame | Rail depth (minimum),864 mm,Frame | Rail width,305 mm,Frame | Plate material,482.6 MPa tensile strength steel,Cab | Integral 4-post ROPS/FOPS Level 2 cab structure,,Brakes | Secondary brake,"Manual pedal operation. When hydraulic pressure drops below rated level, parking brake automatically actuated",Brakes | Secondary brake,"Manual pedal operation. When hydraulic pressure drops below rated level, parking brake automatically actuated",Brakes | Secondary brake,"Manual pedal operation. When hydraulic pressure drops below rated level, parking brake automatically actuated",Brakes | Secondary brake,"Manual pedal operation. When hydraulic pressure drops below rated level, parking brake automatically actuated",Brakes | Secondary brake,"Pedal operation. When hydraulic pressure drops below rated level, parking brake automatically actuated",Hydraulic System | Relief pressure,30.4 MPa  310 kg/cm2,Hydraulic System | Relief pressure,28.4 MPa  290 kg/cm2
Frame | Side plate thickness,19 mm,Frame | Rail depth (minimum),864 mm,Frame | Side plate thickness - rear,16 mm,Frame | Top and bottom plate thickness,45 mm,Frame | Rail depth (minimum),864 mm,Frame | Casting material,620.5 MPa tensile strength steel,Hydraulic System | Hoist cylinder,"Two, 3-stage telescopic type",Brakes | Brake surface:,,Brakes | Brake surface:,,Brakes | Brake surface:,,Cab | Standard,"ISO3471, SAEJ1040-1988c (ROPS)",Brakes | Brake surface:,,Hydraulic System | Hoist time,10.5 sec,Hydraulic System | Hoist time,12.0 sec
Frame | Drive axle mounting,Pin and spherical bushing,Frame | Top and bottom plate thickness,32 mm,Frame | Side plate thickness - front,16 mm,Frame | Side plate thickness,25 mm,Frame | Top and bottom plate thickness,45 mm,Frame | Rail width,305 mm,Hydraulic System | Relief pressure,24 MPa  245 kg/cm2,Brakes | Front,968 cm2,Brakes | Front,968 cm2,Brakes | Front,1936 cm2,Hydraulic System | Hoist cylinder,"Twin, two-stage telescopic type",Brakes | Front,37467 cm2,Main Frame | Type,"Articulated, box-sectioned construction on front and rear  Connected by strong torque tubes",Main Frame | Type,"Articulated, box-sectioned construction on front and rear  Connected by strong torque tubes"
Frame | Drive axle alignment,Swing link between frame and axle,Frame | Side plate thickness,16 mm,Frame | Drive axle mounting,Pin and spherical bushing,Frame | Drive axle mounting,Pin and spherical bushing,Frame | Side plate thickness,25 mm,Frame | Rail depth (minimum),864 mm,Hydraulic System | Hoist time,,Brakes | Rear,50847 cm2,Brakes | Rear,50847 cm2,Brakes | Rear,64230 cm2,Hydraulic System | Relief pressure,20.6 MPa  210 kg/cm2,Brakes | Rear,72414 cm2,Service Refill Capacities | Fuel tank,388 ltr,Service Refill Capacities | Fuel tank,525 ltr
Hydraulic System | Steering,Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator,Frame | Drive axle mounting,Pin and spherical bushing,Frame | Drive axle alignment,Swing link between frame and axle,Frame | Drive axle alignment,Swing link between frame and axle,Frame | Drive axle mounting,Pin and spherical bushing,Frame | Top and bottom plate thickness,45 mm,Hydraulic System | Raise,13.5 sec,Cab | Standard,"ISO3471, SAEJ1040-1988c (ROPS)",Cab | Standard,"ISO3471, SAEJ1040-1988c (ROPS)",Cab | Standard,ISO3471 (ROPS),Hydraulic System | Hoist time,11.5 sec,Cab | Standard,ISO3471 (ROPS)  ISO3449 (FOPS),Service Refill Capacities | DEF tank,32.8 ltr,Service Refill Capacities | DEF tank,34.0 ltr
Hydraulic System | Turning circle diameter (SAE),27.2 m,Frame | Drive axle alignment,Swing link between frame and axle,Hydraulic System | Steering,Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator.,Hydraulic System | Steering,Accumulator assisted twin double acting cylinders provide constant rate steering. Emergency steering automatically applied by accumulator.,Frame | Drive axle alignment,Swing link between frame and axle,Frame | Side plate thickness - rear,25 mm,Hydraulic System | Lower,12.5 sec,Hydraulic System | Hoist cylinder,"Twin, two-stage telescopic type",Hydraulic System | Hoist cylinder,"Twin, two-stage telescopic type",Hydraulic System | Hoist cylinder,"Twin, two-stage telescopic type",Main Frame | Type,Box-sectioned structure,Hydraulic System | Hoist cylinder,"Twin, two-stage telescopic type",Service Refill Capacities | Engine oil,35 ltr,Service Refill Capacities | Engine oil,50 ltr
Hydraulic System | Reservoir,511 ltr,Hydraulic System | Steering,Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator,Hydraulic System | Turning circle diameter (SAE),29.3 m,Hydraulic System | Turning circle diameter (SAE),29.7 m,Hydraulic System | Steering,Accumulator assisted twin double acting cylinders provide constant rate steering. Emergency steering automatically applied by accumulator.,Frame | Side plate thickness - front,32 mm,Main Frame | Type,Box-sectioned structure. Integral front bumper,Hydraulic System | Relief pressure,20.6 MPa  210 kg/cm2,Hydraulic System | Relief pressure,20.6 MPa  210 kg/cm2,Hydraulic System | Relief pressure,20.6 MPa  210 kg/cm2,Service Refill Capacities | Fuel tank,800 ltr,Hydraulic System | Relief pressure,20.6 MPa  210 kg/cm2,"Service Refill Capacities | Torque converter, transmission and retarder cooling",80 ltr,"Service Refill Capacities | Torque converter, transmission and retarder cooling",125 ltr
Hydraulic System | Filtration,In-line replacement elements,Hydraulic System | Turning circle diameter (SAE),28.4 m,Hydraulic System | Reservoir,947 ltr,Hydraulic System | Reservoir,947 ltr,Hydraulic System | Turning circle diameter (SAE),29.7 m,Frame | Drive axle mounting,Pin and spherical bushing,Service Refill Capacities | Fuel tank,2120 ltr,Hydraulic System | Hoist time,10 sec,Hydraulic System | Hoist time,10 sec,Hydraulic System | Hoist time,11.5 sec,Service Refill Capacities | Engine oil,80 ltr,Hydraulic System | Hoist time,,Service Refill Capacities | Differentials (total),71.5 ltr,Service Refill Capacities | Differentials (total),108 ltr
